iter	Passed	Remaining
423	2852	511
424	2858	504
425	2863	497
426	2869	490
427	2875	483
428	2881	476
429	2887	470
430	2893	463
431	2899	456
432	2905	449
433	2911	442
434	2919	436
435	2926	429
436	2932	422
437	2938	416
438	2945	409
439	2950	402
440	2956	395
441	2963	388
442	2969	382
443	2975	375
444	2981	368
445	2988	361
446	2994	355
447	3000	348
448	3006	341
449	3012	334
450	3018	327
451	3024	321
452	3030	314
453	3036	307
454	3042	300
455	3048	294
456	3056	287
457	3062	280
458	3068	274
459	3073	267
460	3080	260
461	3087	253
462	3095	247
463	3103	240
464	3109	234
465	3116	227
466	3121	220
467	3128	213
468	3134	207
469	3141	200
470	3147	193
471	3154	187
472	3160	180
473	3168	173
474	3175	167
475	3182	160
476	3189	153
477	3197	147
478	3207	140
479	3214	133
480	3221	127
481	3228	120
482	3241	114
483	3249	107
484	3257	100
485	3264	94
486	3272	87
487	3282	80
488	3290	74
489	3297	67
490	3305	60
491	3312	53
492	3319	47
493	3327	40
494	3334	33
495	3342	26
496	3348	20
497	3356	13
498	3363	6
499	3370	0
