iter	Logloss
0	0.6409586794
1	0.5948801324
2	0.5551596211
3	0.5206911461
4	0.490261367
5	0.4630561939
6	0.4389024672
7	0.4184470956
8	0.4005351754
9	0.3837013792
10	0.3696719462
11	0.3565953862
12	0.345606825
13	0.3361680414
14	0.3276713068
15	0.3205040168
16	0.3138291469
17	0.30812318
18	0.3026983692
19	0.2982630805
20	0.2943778489
21	0.2907607744
22	0.2876562624
23	0.2845057702
24	0.2820890196
25	0.2797675482
26	0.2772994096
27	0.2754171755
28	0.2738925899
29	0.2723330566
30	0.2708806553
31	0.2694191439
32	0.2680455517
33	0.266772134
34	0.2658626878
35	0.2648929548
36	0.2641458825
37	0.263547484
38	0.2627683112
39	0.2621105573
40	0.2615447794
41	0.2610526641
42	0.2604529562
43	0.2600789624
44	0.2594012767
45	0.2588410001
46	0.2584885992
47	0.257994234
48	0.2572666675
49	0.2568505284
50	0.2563096269
51	0.255890918
52	0.2553549919
53	0.2550472673
54	0.2546900749
55	0.2543371383
56	0.2540035189
57	0.2537395712
58	0.2532973982
59	0.2529577599
60	0.2526560865
61	0.2523515146
62	0.2521003903
63	0.2519633645
64	0.2517806083
65	0.2514851531
66	0.2512410563
67	0.250985522
68	0.2508040742
69	0.250550343
70	0.2504718647
71	0.2503829302
72	0.2501083285
73	0.2499548627
74	0.249793178
75	0.2495690888
76	0.2493580251
77	0.2491861355
78	0.2490939036
79	0.2489084661
80	0.2487160151
81	0.2485149426
82	0.2482409865
83	0.2480361708
84	0.2478860483
85	0.2478153181
86	0.2476315911
87	0.2473951049
88	0.2471300763
89	0.2470267933
90	0.2468838764
91	0.2467662658
92	0.2466561465
93	0.2465382068
94	0.2463640626
95	0.2461711089
96	0.2460510329
97	0.2458465881
98	0.2457689002
99	0.2456166479
100	0.2454789253
101	0.2452893566
102	0.2451301525
103	0.2449851568
104	0.2448565199
105	0.2447013999
106	0.2445579201
107	0.2444440411
108	0.2442351985
109	0.2441571479
110	0.2440379905
111	0.2438720709
112	0.2437813614
113	0.2435835681
114	0.2434534975
115	0.2433804565
116	0.2431749772
117	0.2430503802
118	0.242860683
119	0.2427644631
120	0.242612921
121	0.2424961138
122	0.2423850165
123	0.2422928898
124	0.2421959315
125	0.2421133727
126	0.2420701608
127	0.2420537178
128	0.2419549128
129	0.2419200661
130	0.2417922167
131	0.2417220007
132	0.2416086431
133	0.2415707552
134	0.2415075757
135	0.2414625849
136	0.2413885049
137	0.2413215909
138	0.2412666184
139	0.2410349405
140	0.2410214408
141	0.2409281439
142	0.240771594
143	0.2406003462
144	0.240449574
145	0.2402523884
146	0.2399898261
147	0.2398341855
148	0.2396917912
149	0.2395137159
150	0.2394727639
151	0.2393749921
152	0.2393459763
153	0.2392420728
154	0.2391460606
155	0.2391201607
156	0.2390142701
157	0.2389715262
158	0.2389601089
159	0.2388589341
160	0.2387859839
161	0.2387236944
162	0.2385299355
163	0.2384804266
164	0.2383353511
165	0.2382847271
166	0.2382589975
167	0.2381003305
168	0.2380343274
169	0.2379609917
170	0.2378219202
171	0.23759908
172	0.2375340081
173	0.2374625456
174	0.2373791608
175	0.2372059155
176	0.2371040766
177	0.2370262836
178	0.2368673729
179	0.236665841
180	0.2365296038
181	0.2364799221
182	0.2364093528
183	0.2363048268
184	0.2362896328
185	0.236240691
186	0.2362180988
187	0.2361524855
188	0.2361302366
189	0.2360741711
190	0.2360096196
191	0.235951891
192	0.2359054501
193	0.2357572084
194	0.2357030907
195	0.2355883897
196	0.2355664537
197	0.2355154507
198	0.2354972575
199	0.2353713857
